"source","report","date range","dimension","item","clicks","impressions","CTR","average position","users","sessions","engagement metric","indexing status","AdSense status","interpretation","confidence","resulting decision"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-05-30-master-ai-art-seeds-unlock-variations-quality","0","197","0%","9,9","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-05-17-master-sdxl-prompting-guide#crafting-effective-sdxl-prompts-for-high-fidelity","0","178","0%","6,1","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-03-19-master-stable-diffusion-3d-render-ai-art","0","174","0%","12,4","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-05-17-master-sdxl-prompting-guide#key-differences-sdxl-prompting-vs-sd-1521","0","159","0%","6,4","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-04-11-master-cinematic-lighting-ai-art-prompts","0","150","0%","6,1","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-05-17-master-dall-e-3-ui-web-design-prompts","0","144","0%","11,9","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-04-05-master-leonardo-ai-photoreal-hyperrealistic-art","0","143","0%","11,1","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-05-17-master-sdxl-prompting-guide#optimizing-resolution-and-aspect-ratios-for-sdxl","0","142","0%","6,4","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/prompt-generator-for/game-concepts","0","119","0%","7,6","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-06-02-master-ai-art-compositing-guide","0","103","0%","9,8","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-05-29-master-dalle3-typography-art-custom-lettering","0","101","0%","8,4","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-05-27-ai-art-prompt-anatomy-for-beginners","0","97","0%","10","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-06-19-ai-art-workflow-tools-comparison-midjourney-sd-dalle-leonardo","0","84","0%","19,6","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-06-01-master-vaporwave-ai-art-prompts","0","83","0%","10,1","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-07-03-ai-3d-art-generators-compared-midjourney-sd-dall-e-3","0","81","0%","9,1","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-05-16-master-midjourney-blend-command-images","0","74","0%","12,7","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2025-11-27-midjourney-v6-complete-prompt-guide#framing-your-vision-aspect-ratios---ar","0","73","0%","4,6","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-05-17-master-sdxl-prompting-guide#introduction-to-sdxls-unique-prompting-advantages","0","73","0%","5,7","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-07-06-stable-diffusion-game-assets-sprite-sheets-turnarounds","0","73","0%","11,4","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2025-11-27-midjourney-v6-complete-prompt-guide#mastering-style-with---stylize-or---s","0","67","0%","4,5","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-05-31-master-incremental-ai-prompting-build-complex-scenes","0","62","0%","10,1","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-03-25-simple-to-stunning-ai-prompts-add-detail","0","57","0%","9,7","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/privacy","0","55","0%","5","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2025-12-04-level-up-campaign-ai-art-dnd-ttrpg","0","49","0%","12,5","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-03-17-mastering-ai-art-style-consistency-midjourney-sd-dall-e3","0","39","0%","13,4","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-05-01-generate-social-media-ai-art-prompts-strategies","0","39","0%","18,8","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2025-11-27-midjourney-v6-complete-prompt-guide#embracing-the-unexpected---chaos-or---c","0","38","0%","4,1","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2025-11-27-midjourney-v6-complete-prompt-guide#fine-tuning-the-finish-quality---q","0","38","0%","4,1","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/contact","0","33","0%","6,1","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/terms","0","32","0%","6,1","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-07-09-ai-art-time-manipulation-prompts","0","32","0%","13,1","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-05-17-master-sdxl-prompting-guide#leveraging-the-sdxl-refiner-for-enhanced-detail-and-quality","0","30","0%","5,8","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2025-12-31-master-visual-consistency-ai-art-project-cohesion","0","28","0%","6,3","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-07-07-dall-e-3-object-editing-guide-modify-ai-art","0","28","0%","13,1","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/prompt-generator-for/real-estate-interiors","0","26","0%","10,4","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/prompt-generator-for/food-photography","0","26","0%","19,9","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-06-21-mastering-ai-art-adjectives-detailed-prompts","0","24","0%","5,9","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-04-04-master-ai-art-organization-portfolio-projects","0","22","0%","9","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-06-14-master-ai-art-subject-focus-prompts","0","22","0%","9,5","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-05-02-master-ai-art-refinement-midjourney-sd-dall-e-3-leonardo","0","20","0%","10,2","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-03-21-master-ai-art-perspective-prompts-dynamic-depth","0","19","0%","7,5","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-05-11-master-ai-art-interaction-prompts","0","18","0%","7,7","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-06-13-master-ai-art-selection","0","17","0%","7,5","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-04-26-master-nuance-ai-art-prompts","0","14","0%","5,9","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-02-03-master-surreal-ai-art-prompts#2-understanding-core-surrealist-principles-for-ai-prompts","0","14","0%","6,1","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-01-12-streamline-ai-art-workflow-generate-faster","0","12","0%","7,2","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-06-05-master-midjourney-depth-of-field-prompts","0","12","0%","7,4","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/content-standards","0","10","0%","6,3","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-02-03-master-surreal-ai-art-prompts#4-advanced-surrealism-combining-concepts-for-unique-visions","0","9","0%","6,2","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-07-11-ai-art-special-effects-midjourney-sd-dall-e3-comparison","0","9","0%","18,7","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-02-03-master-surreal-ai-art-prompts#1-what-is-surrealism-in-ai-art","0","8","0%","6,8","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-06-29-master-leonardo-ai-character-expressions-emotions-moods","0","8","0%","8,5","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-07-13-master-midjourney-color-schemes-prompts","0","7","0%","10,7","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog","0","6","0%","5","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-07-09-master-leonardo-ai-depth-of-field","0","6","0%","8,2","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-06-30-master-allegorical-ai-art-prompts-subtext-meaning","0","4","0%","4","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-06-27-master-dalle-3-shadows-prompts","0","4","0%","6,5","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-07-13-break-down-vision-ai-art-prompts","0","3","0%","5,3","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-07-04-natural-language-ai-prompts-guide","0","3","0%","9,3","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/opengraph-image?dbedddfcade95d39","0","2","0%","5,5","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-06-21-master-midjourney-storytelling-sequences","0","2","0%","9","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-02-16-master-ai-art-lenses-prompts-guide#the-basics-of-focal-length-in-ai-prompts-field-of-view-perspective","0","1","0%","1","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2026-02-16-master-ai-art-lenses-prompts-guide#why-specific-camera-lenses-elevate-ai-art","0","1","0%","1","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2025-12-25-ai-prompt-weighting-guide#de-emphasizing-and-subtracting-reducing-the-influence-of-prompt-terms","0","1","0%","11","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2025-12-25-ai-prompt-weighting-guide#emphasizing-elements-making-your-subject-style-or-color-stand-out","0","1","0%","11","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Search results","2025-11-26 to 2026-07-14","Page","https://freeaipromptmaker.com/blog/2025-12-25-ai-prompt-weighting-guide#understanding-weighting-syntax-how-to-apply-weights-in-ai-art-generators","0","1","0%","11","","","","","","Per-page organic baseline joined to the URL inventory.","high","Preserve and improve unless a documented same-intent merge is stronger"
"Search Console","Page indexing","Updated 2026-07-10","Property aggregate","Indexed pages","","","","","","","","103 indexed","","Owner-provided indexed/non-indexed order was reversed.","high","Use live report counts"
"Search Console","Page indexing","Updated 2026-07-10","Reason","Discovered - currently not indexed","","","","","","","","119 URLs; validation successful; examples have no last crawl","","Generated corpus is not being crawled at the published scale.","high","Stop auto-publishing and improve architecture/content"
"Search Console","Page indexing","Updated 2026-07-10","Reason","Crawled - currently not indexed","","","","","","","","50 URLs; validation not started","","Direct corroboration of quality/duplication risk; not an automatic delete rule.","high","Review per URL and improve/merge conservatively"
"Search Console","Page indexing","Updated 2026-07-10","Reason","Excluded by noindex","","","","","","","","19 URLs","","Report has not yet discovered all 144 live noindex model/use-case variants.","high","Keep current noindex pending product-use evidence"
"Search Console","Page indexing","Updated 2026-07-10","Reason","Not found (404)","","","","","","","","5 URLs","","Four historical examples now return 200; /flux-pro remains 404.","high","Redirect /flux-pro to the maintained generator directory"
"Search Console","Core Web Vitals","Updated 2026-07-15","Mobile group","35 URLs","","","","","","","LCP group 2.6s; issue is LCP >2.5s; INP issue count 0","","","Shared article template misses good LCP threshold on field data.","high","Prioritize mobile article LCP"
"Search Console","Core Web Vitals","Updated 2026-07-15","Desktop","35 URLs","","","","","","","35 good; 0 need improvement; 0 poor","","","Desktop field baseline is healthy.","high","Preserve desktop performance"
"Search Console","Review snippets","Updated 2026-07-15","Enhancement","35 valid, 0 invalid","","","","","","","","","","Syntax validity does not authenticate the unsupported aggregate rating.","high","Remove unsupported rating schema"
"Search Console","Manual actions","2026-07-16 inspection","Property","No issues detected","","","","","","","","","","No current manual action.","high","Do not request validation"
"Search Console","Security issues","2026-07-16 inspection","Property","No issues detected","","","","","","","","","","No current Search Console security issue.","high","Still patch dependency advisories"
"Search Console","Links","2026-07-16 inspection","Property","External 2784; internal 731","","","","","","","","","","External counts are concentrated on legal pages and raw cloud IP sources; internal links concentrate on global/trust routes.","high","Do not treat these as strong editorial backlinks; rebuild guide clusters"
"GA4","Landing page","2026-04-17 to 2026-07-15","Property aggregate","freeaipromptmaker.com","","","","","118","158","1m 37s average engagement/session; 115 new users; 0 key events","","","Only about one tenth as many sessions as comparable GSC clicks; coverage is severely incomplete.","high","Do not use GA4 low traffic to remove URLs"
"GA4","Traffic acquisition","2026-04-17 to 2026-07-15","Channel","Organic Search","","","","","","101","64 engaged sessions; 63.37% engagement; 1m 22s average; 582 events","","","Largest measured channel but far below Search Console click volume.","high","Treat directionally"
"GA4","Technology details","2026-04-17 to 2026-07-15","Device","mobile","","","","","60","","61.97% engagement; 1m 50s average engagement/user","","","Mobile represents just over half of measured active users.","high","Prioritize mobile UX and CWV"
"GA4","Technology details","2026-04-17 to 2026-07-15","Device","desktop","","","","","57","","63.95% engagement; 2m 32s average engagement/user","","","Desktop measured engagement is stronger.","high","Preserve desktop usability"
"GA4","Landing page","2026-04-17 to 2026-07-15","Landing page","/","","","","","32  (%27,12)","38  (%24,05)","2 dk. 04 sn.","","","Sanitized landing-page sample; coverage is incomplete relative to GSC.","medium","Use only as supporting evidence"
"GA4","Landing page","2026-04-17 to 2026-07-15","Landing page","/blog/2025-11-29-stable-diffusion-negative-prompts-guide","","","","","20  (%16,95)","22  (%13,92)","55 sn","","","Sanitized landing-page sample; coverage is incomplete relative to GSC.","medium","Use only as supporting evidence"
"GA4","Landing page","2026-04-17 to 2026-07-15","Landing page","(not set)","","","","","7  (%5,93)","11  (%6,96)","14 sn","","","Sanitized landing-page sample; coverage is incomplete relative to GSC.","medium","Use only as supporting evidence"
"GA4","Landing page","2026-04-17 to 2026-07-15","Landing page","/blog/2025-11-27-midjourney-v6-complete-prompt-guide","","","","","7  (%5,93)","7  (%4,43)","33 sn","","","Sanitized landing-page sample; coverage is incomplete relative to GSC.","medium","Use only as supporting evidence"
"GA4","Landing page","2026-04-17 to 2026-07-15","Landing page","/blog/2026-02-13-best-stable-diffusion-extensions","","","","","5  (%4,24)","7  (%4,43)","1 dk. 49 sn.","","","Sanitized landing-page sample; coverage is incomplete relative to GSC.","medium","Use only as supporting evidence"
"GA4","Landing page","2026-04-17 to 2026-07-15","Landing page","/blog/2025-11-30-ai-art-styles-guide","","","","","3  (%2,54)","6  (%3,8)","2 dk. 31 sn.","","","Sanitized landing-page sample; coverage is incomplete relative to GSC.","medium","Use only as supporting evidence"
"GA4","Landing page","2026-04-17 to 2026-07-15","Landing page","/blog/2026-02-16-master-ai-art-lenses-prompts-guide","","","","","3  (%2,54)","6  (%3,8)","5 dk. 36 sn.","","","Sanitized landing-page sample; coverage is incomplete relative to GSC.","medium","Use only as supporting evidence"
"GA4","Landing page","2026-04-17 to 2026-07-15","Landing page","/image-to-prompt","","","","","6  (%5,08)","6  (%3,8)","1 dk. 01 sn.","","","Sanitized landing-page sample; coverage is incomplete relative to GSC.","medium","Use only as supporting evidence"
"GA4","Landing page","2026-04-17 to 2026-07-15","Landing page","/blog/2026-01-25-stable-diffusion-wildcards-guide","","","","","1  (%0,85)","5  (%3,16)","4 sn","","","Sanitized landing-page sample; coverage is incomplete relative to GSC.","medium","Use only as supporting evidence"
"GA4","Landing page","2026-04-17 to 2026-07-15","Landing page","/blog/2026-02-24-master-ai-art-weather-time-prompts","","","","","4  (%3,39)","4  (%2,53)","37 sn","","","Sanitized landing-page sample; coverage is incomplete relative to GSC.","medium","Use only as supporting evidence"
"GA4","Landing page","2026-04-17 to 2026-07-15","Landing page","/blog/2026-02-03-master-surreal-ai-art-prompts","","","","","3  (%2,54)","3  (%1,9)","2 dk. 20 sn.","","","Sanitized landing-page sample; coverage is incomplete relative to GSC.","medium","Use only as supporting evidence"
"GA4","Landing page","2026-04-17 to 2026-07-15","Landing page","/prompt-generators","","","","","3  (%2,54)","3  (%1,9)","44 sn","","","Sanitized landing-page sample; coverage is incomplete relative to GSC.","medium","Use only as supporting evidence"
"GA4","Landing page","2026-04-17 to 2026-07-15","Landing page","/blog/2025-12-25-ai-prompt-weighting-guide","","","","","2  (%1,69)","2  (%1,27)","38 sn","","","Sanitized landing-page sample; coverage is incomplete relative to GSC.","medium","Use only as supporting evidence"
"GA4","Landing page","2026-04-17 to 2026-07-15","Landing page","/blog/2026-01-04-stable-diffusion-regional-prompting-guide","","","","","2  (%1,69)","2  (%1,27)","46 sn","","","Sanitized landing-page sample; coverage is incomplete relative to GSC.","medium","Use only as supporting evidence"
"GA4","Landing page","2026-04-17 to 2026-07-15","Landing page","/blog/2026-01-11-dall-e-3-character-development-sheets-storyboards","","","","","1  (%0,85)","2  (%1,27)","1 dk. 20 sn.","","","Sanitized landing-page sample; coverage is incomplete relative to GSC.","medium","Use only as supporting evidence"
"GA4","Landing page","2026-04-17 to 2026-07-15","Landing page","/prompt-generator-for/architecture","","","","","2  (%1,69)","2  (%1,27)","2 dk. 09 sn.","","","Sanitized landing-page sample; coverage is incomplete relative to GSC.","medium","Use only as supporting evidence"
"GA4","Landing page","2026-04-17 to 2026-07-15","Landing page","/blog","","","","","1  (%0,85)","1  (%0,63)","13 dk. 36 sn.","","","Sanitized landing-page sample; coverage is incomplete relative to GSC.","medium","Use only as supporting evidence"
"GA4","Landing page","2026-04-17 to 2026-07-15","Landing page","/blog/2025-11-28-dall-e-3-photorealism-prompt-guide","","","","","1  (%0,85)","1  (%0,63)","3 dk. 06 sn.","","","Sanitized landing-page sample; coverage is incomplete relative to GSC.","medium","Use only as supporting evidence"
"GA4","Landing page","2026-04-17 to 2026-07-15","Landing page","/blog/2025-12-02-midjourney-vs-dalle-3-vs-stable-diffusion","","","","","1  (%0,85)","1  (%0,63)","3 dk. 57 sn.","","","Sanitized landing-page sample; coverage is incomplete relative to GSC.","medium","Use only as supporting evidence"
"GA4","Landing page","2026-04-17 to 2026-07-15","Landing page","/blog/2025-12-05-ai-animation-video-prompts-guide","","","","","1  (%0,85)","1  (%0,63)","26 sn","","","Sanitized landing-page sample; coverage is incomplete relative to GSC.","medium","Use only as supporting evidence"
"GA4","Landing page","2026-04-17 to 2026-07-15","Landing page","/blog/2025-12-05-cyberpunk-ai-art-prompts-collection","","","","","1  (%0,85)","1  (%0,63)","25 sn","","","Sanitized landing-page sample; coverage is incomplete relative to GSC.","medium","Use only as supporting evidence"
"GA4","Landing page","2026-04-17 to 2026-07-15","Landing page","/blog/2026-01-01-master-ai-art-lighting-prompts","","","","","1  (%0,85)","1  (%0,63)","7 sn","","","Sanitized landing-page sample; coverage is incomplete relative to GSC.","medium","Use only as supporting evidence"
"GA4","Landing page","2026-04-17 to 2026-07-15","Landing page","/blog/2026-01-06-master-consistent-characters-leonardo-ai","","","","","1  (%0,85)","1  (%0,63)","1 dk. 00 sn.","","","Sanitized landing-page sample; coverage is incomplete relative to GSC.","medium","Use only as supporting evidence"
"GA4","Landing page","2026-04-17 to 2026-07-15","Landing page","/blog/2026-01-09-ai-art-generator-pricing-midjourney-stable-diffusion-dalle3-costs","","","","","1  (%0,85)","1  (%0,63)","2 sn","","","Sanitized landing-page sample; coverage is incomplete relative to GSC.","medium","Use only as supporting evidence"
"GA4","Landing page","2026-04-17 to 2026-07-15","Landing page","/blog/2026-02-09-master-leonardo-ai-models","","","","","1  (%0,85)","1  (%0,63)","24 sn","","","Sanitized landing-page sample; coverage is incomplete relative to GSC.","medium","Use only as supporting evidence"
"GA4","Landing page","2026-04-17 to 2026-07-15","Landing page","/blog/2026-02-21-dalle-3-negative-prompts-guide","","","","","1  (%0,85)","1  (%0,63)","0 sn","","","Sanitized landing-page sample; coverage is incomplete relative to GSC.","medium","Use only as supporting evidence"
